restaurantID,name,street,restaurantZIP,#CommissionableOrders,AvgBasketSize€,#NegativeComments,#PositiveComments,%KillRate,AvgTimetoAccept(s),Month
8104,Al Pomodoro,"Heinrichstraße, 45",8010,55,21.15,0,1,13.50%,249,1
8105,Jodl - Süßigkeiten & Getränke,"Hauptplatz, stand 1",8010,12,16.37,0,0,0.00%,634,1
8109,Sägewerk Sport,"Hüttenbrennergasse, 31",8010,80,17.55,0,0,6.40%,365,1
8110,Posaune,"Zinzendorfgasse, 34",8010,0,,0,0,12.50%,,1
8175,WILDING IM HOF - FETT ESSEN,"Elisabethstraße, 30",8010,345,17.68,0,1,4.90%,421,1
8176,Casa Costiera - Cucina di mare & Pizzeria,"Schmiedgasse, 36",8010,111,23.07,0,1,10.60%,464,1
8262,Restaurant Demiri,"Lendplatz, 4",8020,46,14.9,0,1,5.80%,479,1
8285,Restaurant La Done,"Puchstraße, 47",8020,122,23.18,1,1,,21,1
8370,Parks Art,"Griesgasse, 7",8020,39,19.13,0,1,3.20%,611,1
8373,Esserei - Pasteria,"Lagergasse, 351",8055,0,,0,0,,,1
8374,Parks,"Zinzendorfgasse, 4",8010,108,17.31,1,1,2.30%,470,1
8386,Pi Pa Po,"Brauquartier, 7 - 9",8055,70,23.59,0,1,16.60%,569,1
8387,Onkel Donald Döner und Pizza,"Alte Poststraße, 148",8020,53,18.38,0,1,9.40%,16,1
8407,Bar28,"Gartengasse, 28",8010,82,18.92,1,1,11.30%,505,1
8414,China Restaurant - Spezielle Gerichte,"Shopping City Seiersberg, 5/2/2/24",8055,24,18.91,0,0,10.60%,790,1
8437,The Churchill Bar,"Heinrichstraße, 21",8010,0,,0,0,,,1
8438,Der Eissalon,"Straßganger Straße, 205",8052,1,,0,0,12.30%,,1
8441,PRIK THAI,"Steyrergasse, 46",8010,70,28.08,0,1,12.00%,463,1
8445,Streets,"Waagner-Biro-Straße, 109",8020,0,,0,0,,,1
8487,Food Choice,"Münzgrabenstraße, 36",8010,2,12.9,0,1,0.00%,542,1
8488,Panda Asia,"Reitschulgasse, 8",8010,80,29.17,1,1,13.80%,483,1
8502,Römerstube,"Liebenauer Hauptstraße, 103",8041,0,,0,0,9.10%,,1
8579,OMV - VIVA Shop,"Seebachergasse, 8",8010,67,17.21,1,1,7.50%,422,1
8639,Sushi & Co.,"Moserhofgasse, 46",8010,150,26.84,1,1,11.10%,381,1
8649,MoMo's Ristorante,"Wiener Straße, 182",8051,328,18.84,2,1,13.30%,15,1
8650,Osaka,"Volksgartenstraße, 5",8020,94,28.41,1,1,9.80%,399,1
8659,OMV - VIVA Shop,"Straßganger Straße, 436",8054,19,24.22,0,1,,280,1
8677,Tonkin,"Hilmteichstraße, 1",8010,30,36.1,0,1,,533,1
8678,Barabar - Bar & Restaurant,"Ziehrerstraße, 68",8041,0,,0,0,8.10%,,1
8681,Gasthaus zum weißen Kreuz,"Heinrichstraße, 67",8010,24,23.53,0,1,9.30%,696,1
8778,Ritterwirt,"Schönaugasse, 11",8010,36,21.42,0,1,3.80%,449,1
8795,Koshari Time,"Schönaugasse, 3",8010,94,14.18,0,1,13.70%,486,1
8796,Reselstube,"Hans-Resel-Gasse, 11",8020,0,,0,0,0.00%,,1
8797,La Pizza ,"Koschatgasse, 35",8020,18,16.74,0,0,14.50%,477,1
8798,Europa Pizza Kebap ,"Annenstraße, 68",8020,43,10.36,1,1,11.30%,449,1
8800,Arena Grill & Fast Food ,"Kasernstraße, 99",8041,8,20.25,0,0,13.20%,457,1
8845,Pizzeria Bulut,"Brunnenfeldstraße, 1",8055,69,18.18,0,1,11.80%,12,1
8846,Come a Casa,"Kärntner Straße, 501",8054,41,18.73,0,1,13.20%,23,1
8857,Gasthof s'Reindl,"Markusgasse, 3",8055,17,32.03,0,1,10.50%,832,1
8871,Momiji,"Elisabethstraße, 17",8010,80,27.36,0,1,16.10%,564,1
8917,Loana Cakeaway,"Sporgasse, 26",8010,4,27.28,0,1,,232,1
8957,Ossi´s Pizza & Burger,"Weinzöttlstraße, 3b",8045,3,,0,0,,,1
8986,Asia Restaurant,"Alte Poststraße, 470",8055,82,22.39,0,1,,334,1
8988,Omoka ,"Keplerstraße, 12",8020,97,17.87,3,1,,320,1
9009,DIE 3 F Sweet Point,"Südtiroler Platz, 9 tür 66",8020,33,12.69,0,1,,500,1
9013,Comida,"Alte Poststraße, 470",8055,0,,0,0,,,1
9055,Gebraten & Gebacken,"Bahnhofstraße, 2",8054,3,12.43,0,0,,425,1
9057,Molly Malone ,"Färbergasse, 15",8010,39,12.7,0,1,,16,1
9087,Burgerista,"Shopping City Seiersberg, 9/6/1/18",8055,111,26.59,2,1,,577,1
9106,Aegaeis,"Lagergasse, 126",8020,25,15.49,1,1,,305,1
9184,Café Pizzeria Rimini,"Peter-Tunner-Gasse, 45",8020,54,11.58,0,1,,472,1
9210,PEP Deli vom Land,"Alte Poststraße, 152",8020,17,17.14,0,1,,482,1
9228,bp - MERKUR inside,"Münzgrabenstraße, 121",8010,86,21.34,0,1,,485,1
9320,Falafel Joe ,"Färbergasse, 2",8010,0,,0,0,,,1
9343,Bellys 2,"Dreihackengasse, 42",8020,0,,0,0,,,1
9344,Cheesus Burger,"St.-Peter-Hauptstraße, 119a",8042,157,22.13,2,1,,25,1
9387,Landhaus Ruckerlberg,"Rudolfstraße, 59",8010,2,17.2,0,0,,33,1
9432,Jackson's Fried Chicken - Gries,"Herrgottwiesgasse, 97",8020,0,,0,0,,,1
9455,Café Mitte,"Freiheitsplatz, 2",8010,0,,0,0,,,1
9487,Stella Pizzeria & Kebap House,"Schererstraße, 5",8052,7,16.54,0,1,,20,1
9492,Café Phönix,"Münzgrabenstraße, 103",8010,0,,0,0,,,1
9515,Kabashi's,"Alte Maut-Gasse, 10",8054,0,,0,0,,,1
9518,Wing it! - Innere Stadt,"Schönaugasse, 11",8010,0,,0,0,,,1
9548,taste&soul powered by eatclever Graz,"Schumanngasse, 4",8010,0,,0,0,,,1
9554,Mi Casa,"Mariahilfer Straße, 24",8020,0,,0,0,,,1
9560,Unicafe Graz,"Heinrichstraße, 36",8010,0,,0,0,,,1
9561,Shell - Shop und Bistro,"Reininghausstraße, 63",8020,0,,0,0,,,1
9610,NORDSEE - SC Seiersberg,"Shopping City Seiersberg, 3 top 1/1/1",8055,0,,0,0,,,1
9633,Zimt - Persisches Restaurant,"Jakoministraße, 19",8010,0,,0,0,,,1
9644,Pastaria,"Zinzendorfgasse, 32",8010,0,,0,0,,,1
9671,Noodle King,"Triester Straße, 367-371",8055,0,,0,0,,,1
